studytime,failures,absences,G1,G2,G3,learning_path
2,0,6,5,6,6,Basics
2,0,4,5,5,6,Basics
2,3,10,7,8,10,Basics
3,0,2,15,14,15,Basics
2,0,4,6,10,10,Basics
2,0,10,15,15,15,Basics
2,0,0,12,12,11,Basics
2,0,6,6,5,6,Basics
2,0,0,16,18,19,Basics
2,0,0,14,15,15,Basics
2,0,0,10,8,9,Basics
3,0,4,10,12,12,Basics
1,0,2,14,14,14,Basics
2,0,2,10,10,11,Basics
3,0,0,14,16,16,Basics
1,0,4,14,14,14,Basics
3,0,6,13,14,14,Basics
2,0,4,8,10,10,Basics
1,3,16,6,5,5,Basics
1,0,4,8,10,10,Basics
2,0,0,13,14,15,Basics
1,0,0,12,15,15,Basics
2,0,2,15,15,16,Basics
2,0,0,13,13,12,Basics
3,0,2,10,9,8,Basics
1,2,14,6,9,8,Basics
1,0,2,12,12,11,Basics
1,0,4,15,16,15,Basics
2,0,4,11,11,11,Basics
2,0,16,10,12,11,Basics
2,0,0,9,11,12,Basics
2,0,0,17,16,17,Basics
2,0,0,17,16,16,Basics
2,0,0,8,10,12,Basics
1,0,0,12,14,15,Basics
1,0,0,8,7,6,Basics
3,0,2,15,16,18,Basics
3,0,7,15,16,15,Basics
3,0,2,12,12,11,Basics
1,0,8,14,13,13,Basics
2,1,25,7,10,11,Basics
1,0,8,12,12,12,Basics
2,0,2,19,18,18,Basics
1,0,0,8,8,11,Basics
2,1,14,10,10,9,Basics
2,0,8,8,8,6,Basics
2,0,12,11,12,11,Basics
4,0,4,19,19,20,Basics
2,0,2,15,15,14,Basics
2,1,2,7,7,7,Basics
2,0,2,12,13,13,Basics
2,0,2,11,13,13,Basics
1,1,6,11,11,10,Basics
1,0,0,8,10,11,Basics
1,0,6,10,13,13,Basics
2,0,8,8,9,10,Basics
2,0,0,14,15,15,Basics
2,0,4,14,15,15,Basics
2,0,2,9,10,9,Basics
2,0,2,15,16,16,Basics
2,0,6,10,11,11,Basics
1,0,6,10,8,11,Basics
2,0,4,8,10,9,Basics
3,0,2,10,9,9,Basics
2,0,0,10,10,10,Basics
2,0,2,16,15,15,Basics
4,0,4,13,13,12,Basics
4,0,4,7,7,6,Basics
2,0,2,8,9,8,Basics
4,0,12,16,16,16,Basics
4,0,0,13,15,15,Basics
4,0,0,10,10,10,Basics
2,2,2,8,6,5,Basics
1,0,2,12,12,14,Basics
2,0,54,11,12,11,Basics
2,0,6,9,9,10,Basics
4,0,8,11,11,10,Basics
4,0,0,11,11,11,Basics
1,3,2,8,8,10,Basics
2,0,12,5,5,5,Basics
1,0,2,10,12,12,Basics
3,0,4,11,10,11,Basics
2,0,10,7,6,6,Basics
2,0,4,15,15,15,Basics
2,0,2,9,10,10,Basics
2,2,6,7,9,8,Basics
2,0,4,8,7,6,Basics
3,0,4,13,14,14,Basics
2,1,12,11,10,10,Basics
2,0,18,8,6,7,Basics
3,0,0,7,7,8,Basics
1,0,4,16,17,18,Basics
2,0,4,7,6,6,Basics
2,0,0,11,10,10,Basics
4,0,6,11,13,14,Basics
4,1,2,7,10,10,Basics
1,0,2,11,15,15,Basics
2,0,2,8,9,10,Basics
1,0,6,11,14,14,Basics
3,0,0,7,9,8,Basics
1,0,14,7,7,5,Basics
3,0,0,16,17,17,Basics
1,0,4,10,13,14,Basics
2,0,26,7,6,6,Basics
2,0,0,16,18,18,Basics
4,0,10,10,11,11,Basics
4,0,8,7,8,8,Basics
3,0,2,16,18,18,Basics
4,0,6,10,13,13,Basics
3,0,4,14,15,16,Basics
1,0,6,18,19,19,Basics
3,1,0,7,10,10,Basics
2,1,6,10,13,13,Basics
1,0,10,18,19,19,Basics
2,0,8,9,9,9,Basics
2,0,2,15,15,16,Basics
2,0,2,11,13,14,Basics
1,0,0,13,14,13,Basics
2,1,20,9,7,8,Basics
1,0,6,14,13,13,Basics
2,0,2,16,15,15,Basics
4,0,6,16,14,15,Basics
2,0,2,13,13,13,Basics
1,0,18,14,11,13,Basics
2,0,0,8,7,8,Basics
1,0,0,13,13,12,Basics
2,0,0,7,10,11,Basics
2,3,2,7,8,9,Basics
1,2,0,7,4,0,Basics
1,0,8,18,18,18,Basics
3,2,0,12,0,0,Basics
1,0,0,8,0,0,Basics
1,0,12,10,13,12,Basics
1,0,16,12,11,11,Basics
2,0,0,9,0,0,Basics
3,0,0,11,0,0,Basics
2,0,0,10,0,0,Basics
1,2,0,4,0,0,Basics
2,1,0,14,12,12,Basics
1,0,0,16,16,15,Basics
4,0,0,7,9,0,Basics
1,2,8,9,9,9,Basics
3,0,2,9,11,11,Basics
1,0,2,14,14,13,Basics
1,3,0,5,0,0,Basics
2,0,0,8,11,11,Basics
2,3,0,6,7,0,Basics
2,0,2,10,11,11,Basics
1,0,0,7,6,0,Basics
1,3,0,8,9,10,Basics
1,3,0,6,5,0,Basics
1,1,6,12,13,14,Basics
3,2,8,10,10,10,Basics
1,3,0,5,0,0,Basics
1,0,0,11,11,12,Basics
2,0,2,11,8,8,Basics
1,0,8,16,12,13,Basics
1,3,6,9,8,10,Basics
1,0,2,17,15,15,Basics
2,1,4,10,12,12,Basics
1,2,0,7,6,0,Basics
2,2,6,5,9,7,Basics
1,1,0,7,0,0,Basics
1,0,2,10,10,10,Basics
2,3,0,5,8,7,Basics
1,1,16,12,11,12,Basics
2,0,4,10,10,10,Basics
2,0,0,14,15,16,Basics
2,0,0,6,7,0,Basics
2,0,0,14,14,14,Basics
1,2,0,6,5,0,Basics
2,0,2,13,15,16,Basics
2,0,0,13,11,10,Basics
2,3,0,8,7,0,Basics
2,0,4,10,11,9,Basics
2,0,4,10,9,9,Basics
2,0,2,13,13,11,Basics
2,0,4,6,5,6,Basics
1,0,10,10,8,9,Basics
2,0,4,10,10,11,Basics
2,0,10,9,8,8,Basics
2,0,2,12,13,12,Basics
2,0,0,16,17,17,Basics
2,0,56,9,9,8,Basics
2,0,14,12,13,12,Basics
2,0,12,12,12,11,Basics
1,0,2,11,12,11,Basics
2,0,0,15,15,15,Basics
2,0,6,8,7,9,Basics
2,0,4,8,9,10,Basics
2,0,10,11,12,13,Basics
2,0,0,8,8,9,Basics
2,0,12,7,8,8,Basics
1,0,8,8,9,10,Basics
1,0,0,13,14,14,Basics
2,0,0,14,15,15,Basics
1,0,4,17,15,16,Basics
1,0,8,9,9,10,Basics
1,1,24,18,18,18,Basics
2,0,0,9,9,10,Basics
2,0,2,16,16,16,Basics
2,0,6,8,10,10,Basics
2,0,4,9,9,10,Basics
1,0,18,7,6,6,Basics
4,0,6,10,10,11,Basics
3,1,28,10,9,9,Basics
2,3,5,7,7,7,Basics
2,0,10,11,12,13,Basics
1,0,6,9,9,10,Basics
3,0,6,7,7,7,Basics
4,0,10,8,8,8,Basics
2,0,13,12,12,13,Basics
2,0,0,12,13,14,Basics
2,1,15,6,7,8,Basics
1,0,12,8,10,10,Basics
2,0,2,14,15,15,Basics
2,2,22,6,6,4,Basics
2,1,13,6,6,8,Basics
1,0,3,7,7,8,Basics
3,0,4,9,10,10,Basics
2,0,2,6,6,6,Basics
3,1,0,6,5,0,Basics
2,0,2,16,16,17,Basics
2,0,0,12,13,13,Basics
3,0,0,13,13,14,Basics
2,1,16,9,8,7,Basics
2,0,10,16,15,15,Basics
2,0,2,12,11,12,Basics
2,0,14,10,8,9,Basics
3,0,10,12,10,12,Basics
2,0,14,13,13,14,Basics
2,0,4,11,11,11,Basics
2,0,14,11,9,9,Basics
2,0,2,14,13,13,Basics
2,0,18,9,7,6,Basics
3,0,10,11,9,10,Basics
2,0,4,14,13,13,Basics
1,0,20,13,12,12,Basics
2,0,2,13,11,11,Basics
2,1,0,7,7,0,Basics
2,0,14,12,12,12,Basics
2,0,2,10,11,12,Basics
1,0,0,6,0,0,Basics
1,0,0,13,12,12,Basics
3,0,0,7,0,0,Basics
1,0,6,18,18,18,Basics
1,0,4,12,12,13,Basics
1,3,16,6,8,8,Basics
2,1,8,3,5,5,Basics
1,0,0,13,15,15,Basics
1,1,0,6,8,8,Basics
2,0,6,7,10,10,Basics
1,1,4,6,9,8,Basics
1,0,0,8,9,8,Basics
1,0,0,8,12,12,Basics
1,1,2,7,9,8,Basics
4,0,6,14,12,13,Basics
2,0,12,11,11,11,Basics
2,0,8,15,14,14,Basics
4,0,0,10,9,0,Basics
2,0,21,17,18,18,Basics
2,0,2,8,8,8,Basics
3,0,1,13,12,12,Basics
3,0,4,10,9,9,Basics
3,0,0,9,10,0,Basics
2,0,13,17,17,17,Basics
2,0,2,9,9,10,Basics
2,0,8,12,10,11,Basics
2,0,10,10,9,10,Basics
2,0,0,6,0,0,Basics
2,2,15,9,9,9,Basics
4,0,4,15,14,14,Basics
2,0,2,11,11,11,Basics
2,0,2,15,14,14,Basics
2,0,2,10,10,10,Basics
2,0,6,12,12,12,Basics
2,0,75,10,9,9,Basics
1,0,22,9,9,9,Basics
2,1,15,9,8,8,Basics
1,0,8,10,11,10,Basics
1,0,30,8,8,8,Basics
1,1,19,11,9,10,Basics
4,0,1,12,12,12,Basics
2,0,4,8,9,10,Basics
2,0,4,10,9,11,Basics
2,0,2,12,10,11,Basics
3,0,5,18,18,19,Basics
3,0,6,13,12,12,Basics
3,0,6,15,14,14,Basics
2,0,9,15,13,15,Basics
2,0,11,12,11,11,Basics
3,0,0,15,15,15,Basics
2,1,12,12,12,13,Basics
4,0,6,18,18,18,Basics
3,0,8,14,13,14,Basics
1,0,4,14,12,11,Basics
2,0,0,10,9,0,Basics
2,0,10,10,8,8,Basics
4,0,0,14,13,14,Basics
1,0,5,16,15,16,Basics
2,0,14,12,10,11,Basics
1,0,0,11,11,10,Basics
3,0,0,15,12,14,Basics
4,0,0,17,17,18,Basics
2,1,20,15,14,13,Basics
2,1,8,14,12,12,Basics
1,0,0,17,18,18,Basics
1,1,38,8,9,8,Basics
2,1,0,15,12,12,Basics
2,1,18,12,10,10,Basics
2,1,0,9,9,0,Basics
2,0,20,14,12,13,Basics
2,1,3,13,11,11,Basics
2,1,22,13,10,11,Basics
3,2,14,15,13,13,Basics
3,1,40,13,11,11,Basics
2,0,0,8,8,0,Basics
3,0,9,9,10,9,Basics
3,0,0,11,11,10,Basics
2,0,2,11,11,11,Basics
2,0,23,13,13,13,Basics
2,0,12,11,9,9,Basics
3,0,3,11,11,11,Basics
3,0,1,12,14,15,Basics
3,0,0,16,15,15,Basics
3,0,3,9,12,11,Basics
1,0,3,14,15,16,Basics
1,0,8,11,10,10,Basics
3,0,7,10,9,9,Basics
3,0,4,14,14,14,Basics
4,0,2,9,8,8,Basics
3,0,7,12,14,14,Basics
2,0,0,7,0,0,Basics
2,0,0,8,8,0,Basics
4,0,0,10,9,0,Basics
3,0,16,16,15,15,Basics
3,1,12,14,13,13,Basics
2,0,0,7,8,0,Basics
4,0,7,16,15,17,Basics
2,0,4,9,10,10,Basics
3,1,4,11,12,11,Basics
2,1,0,10,10,0,Basics
2,0,11,16,15,15,Basics
2,1,0,9,8,0,Basics
3,0,4,11,10,10,Basics
3,0,7,13,13,14,Basics
3,0,9,16,15,16,Basics
3,0,0,10,10,9,Basics
3,0,0,13,15,15,Basics
1,1,10,11,13,13,Basics
2,3,8,8,7,8,Basics
2,0,2,13,13,13,Basics
1,1,7,8,7,8,Basics
1,1,4,8,8,8,Basics
2,0,4,13,11,11,Basics
2,0,0,10,9,9,Basics
2,0,4,12,13,13,Basics
2,0,2,12,12,11,Basics
1,0,4,10,10,10,Basics
3,0,0,18,16,16,Basics
2,0,0,13,13,13,Basics
2,1,2,13,12,12,Basics
2,0,0,11,11,10,Basics
2,0,0,16,15,15,Basics
2,0,0,12,11,12,Basics
2,0,4,10,10,10,Basics
3,0,0,13,13,13,Basics
1,1,0,7,6,0,Basics
1,0,0,11,10,10,Basics
2,0,10,14,12,11,Basics
2,2,4,7,7,9,Basics
1,0,3,14,12,12,Basics
3,0,8,13,11,11,Basics
1,0,14,6,5,5,Basics
3,0,0,19,18,19,Basics
3,0,2,8,8,10,Basics
3,2,4,15,14,15,Basics
2,0,4,8,9,10,Basics
2,0,0,15,15,15,Basics
2,0,17,10,10,10,Basics
2,0,4,15,14,14,Basics
1,0,5,7,6,7,Basics
2,0,2,11,11,10,Basics
1,1,0,6,5,0,Basics
1,1,14,6,5,5,Basics
3,0,2,10,9,10,Basics
1,0,7,6,5,6,Basics
3,1,0,7,5,0,Basics
2,0,0,7,9,8,Basics
2,1,0,6,5,0,Basics
2,2,11,9,9,9,Basics
1,0,3,14,16,16,Basics
1,3,3,10,8,7,Basics
1,0,0,11,12,10,Basics
1,0,5,8,9,9,Basics
